Date;Distance;Type;Time;Lieu;Avg Pace/km;Avg HR;Puiss moy;Déniv pos;Alt max
30-Mar;4.00;Seuil;00:26:10;Plage;6'32;180;159;0;19
30-Mar;3.01;Seuil;00:17:44;Plage;5'54;195;172;16;22
03-Apr;7.01;Tempo;00:45:35;Plage;6'30;181;159;7;11
04-Apr;7.02;Seuil;00:43:08;Plage;6'09;184;165;6;21
06-Apr;3.00;Seuil;00:17:26;Plage;5'48;171;183;4;16
08-Apr;5.03;Seuil;00:31:21;Plage;6'14;166;163;3;8
10-Apr;5.00;fractionné;00:29:50;Plage;5'58;172;171;5;28
13-Apr;8.00;Tempo;00:51:24;Plage;6'25;173;159;12;28
17-Apr;6.16;fractionné;00:35:52;Plage;5'50;180;175;4;25
19-Apr;3.00;Seuil;00:17:22;Plage;5'47;166;176;0;14
20-Apr;9.00;Seuil;00:55:17;Plage;6'08;177;166;14;19
21-Apr;5.00;Seuil;00:28:49;Piste;5'46;170;176;76;15
23-Apr;6.00;Seuil;00:36:33;Plage;6'06;177;169;2;8
27-Apr;10.00;Seuil;00:56:00;Piste;5'36;182;183;167;15
29-Apr;6.46;fractionné;00:35:14;Piste;5'27;176;188;107;15
30-Apr;6.00;Seuil;00:35:38;Plage;5'56;178;175;2;20
02-May;8.00;Tempo;00:46:14;Piste;5'47;171;178;134;15
04-May;10.00;Seuil;00:57:08;Piste;5'43;173;180;170;15
06-May;4.95;fractionné;00:30:07;Plage;6'05;179;171;0;13
11-May;12.00;Seuil;01:08:41;Piste;5'44;182;177;209;14
14-May;6.00;Tempo;00:37:09;Plage;6'11;184;165;0;20
26-Jul;6.00;Tempo;00:37:49;plage;6'18;171;163;3;16
27-Jul;8.00;Seuil;00:49:15;plage;6'09;179;165;31;31
29-Jul;6.22;fractionné;00:36:04;piste;5'48;176;177;108;14
30-Jul;5.00;Seuil;00:29:05;piste;5'49;171;177;87;15
31-Jul;6.21;fractionné;00:37:00;plage;5'58;177;173;3;19
02-Aug;7.00;Seuil;00:39:31;piste;5'39;173;182;119;15
03-Aug;9.00;Seuil;00:52:10;piste;5'48;179;178;157;14
05-Aug;3.38;fractionné;00:20:09;piste;5'57;170;171;55;15
06-Aug;6.84;Tempo;00:45:00;piste;6'34;167;156;118;14
07-Aug;6.00;Tempo;00:36:08;plage;6'01;181;170;3;19
08-Aug;7.00;Seuil;00:40:07;piste;5'44;168;180;123;14
09-Aug;11.00;Seuil;01:05:37;piste;5'58;182;173;196;15
11-Aug;5.00;Seuil;00:30:49;plage;6'10;171;167;2;19
12-Aug;6.60;fractionné;00:40:02;plage;6'04;175;169;4;24
16-Aug;6.50;Seuil;00:40:16;plage;6'11;181;166;5;19
17-Aug;6.00;Tempo;00:37:49;plage;6'18;171;162;3;17
